date,temp,humid
2025-10-27#20:29:54,15.1,66.0
2025-10-27#20:30:09,15.1,66.0
2025-10-27#20:30:25,15.1,66.0
2025-10-27#20:30:40,15.1,66.0
2025-10-27#20:30:55,15.1,66.0
2025-10-27#20:31:10,15.1,66.0
2025-10-27#20:31:26,15.1,66.0
2025-10-27#20:31:56,15.1,66.0
2025-10-27#20:32:12,15.1,66.0
2025-10-27#20:32:27,15.1,66.0
2025-10-27#20:32:42,15.1,66.0
2025-10-27#20:32:57,15.1,66.0
2025-10-27#20:33:13,15.1,66.0
2025-10-27#20:33:28,15.1,66.0
2025-10-27#20:33:43,15.1,66.0
2025-10-27#20:33:58,15.1,66.0
2025-10-27#20:34:14,15.1,66.0
2025-10-27#20:34:29,15.1,66.0
2025-10-27#20:34:44,15.1,66.0
2025-10-27#20:34:59,15.1,66.0
2025-10-27#20:35:15,15.1,66.0
2025-10-27#20:35:30,15.1,66.0
2025-10-27#20:35:45,15.1,66.0
2025-10-27#20:36:00,15.1,66.0
2025-10-27#20:36:16,15.1,66.0
2025-10-27#20:36:46,15.1,66.0
2025-10-27#20:37:01,15.1,66.0
2025-10-27#20:37:17,15.1,66.0
2025-10-27#20:37:32,15.1,66.0
2025-10-27#20:37:47,15.1,66.0
2025-10-27#20:38:02,15.1,66.0
2025-10-27#20:38:18,15.1,66.0
2025-10-27#20:38:33,15.0,66.0
2025-10-27#20:38:48,15.0,66.0
2025-10-27#20:39:03,15.0,66.0
2025-10-27#20:39:19,15.0,66.0
2025-10-27#20:39:34,15.0,66.0
2025-10-27#20:39:49,15.0,66.0
2025-10-27#20:40:04,15.0,67.0
2025-10-27#20:40:20,15.0,67.0
2025-10-27#20:40:35,15.0,67.0
2025-10-27#20:40:50,15.0,67.0
2025-10-27#20:41:05,15.0,67.0
2025-10-27#20:41:21,15.0,67.0
2025-10-27#20:41:36,15.0,67.0
2025-10-27#20:41:51,15.0,67.0
2025-10-27#20:42:06,15.0,67.0
2025-10-27#20:42:22,15.0,67.0
2025-10-27#20:42:37,15.0,67.0
2025-10-27#20:42:52,15.0,67.0
2025-10-27#20:43:07,15.0,67.0
2025-10-27#20:43:23,15.0,67.0
2025-10-27#20:43:38,15.0,67.0
2025-10-27#20:43:53,15.0,67.0
2025-10-27#20:44:08,15.0,67.0
2025-10-27#20:44:24,15.0,67.0
2025-10-27#20:44:39,15.0,67.0
2025-10-27#20:44:54,15.0,67.0
2025-10-27#20:45:09,15.0,67.0
2025-10-27#20:45:25,15.0,67.0
2025-10-27#20:45:40,15.0,67.0
2025-10-27#20:45:55,15.0,67.0
2025-10-27#20:46:10,15.0,67.0
2025-10-27#20:46:26,15.0,67.0
2025-10-27#20:46:41,14.9,67.0
2025-10-27#20:46:56,14.9,67.0
2025-10-27#20:47:11,14.9,67.0
2025-10-27#20:47:27,14.9,67.0
2025-10-27#20:47:42,14.9,67.0
2025-10-27#20:47:57,14.9,67.0
2025-10-27#20:48:13,14.9,67.0
2025-10-27#20:48:28,14.9,67.0
2025-10-27#20:48:43,14.9,67.0
2025-10-27#20:48:58,14.9,67.0
2025-10-27#20:49:14,14.9,67.0
2025-10-27#20:49:29,14.9,67.0
2025-10-27#20:49:44,14.9,67.0
2025-10-27#20:49:59,14.9,67.0
2025-10-27#20:50:15,14.9,67.0
2025-10-27#20:50:30,14.9,67.0
2025-10-27#20:50:45,14.9,67.0
2025-10-27#20:51:00,14.9,67.0
2025-10-27#20:51:16,14.9,67.0
2025-10-27#20:51:31,14.9,67.0
2025-10-27#20:51:46,14.9,67.0
2025-10-27#20:52:01,14.9,67.0
2025-10-27#20:52:17,14.9,67.0
2025-10-27#20:52:32,14.9,67.0
2025-10-27#20:53:02,14.9,67.0
2025-10-27#20:53:18,14.9,67.0
2025-10-27#20:53:33,14.9,67.0
2025-10-27#20:53:48,14.9,67.0
2025-10-27#20:54:03,14.9,67.0
2025-10-27#20:54:19,14.9,67.0
2025-10-27#20:54:34,14.9,67.0
2025-10-27#20:54:49,14.9,67.0
2025-10-27#20:55:04,14.9,67.0
2025-10-27#20:55:20,14.9,67.0
2025-10-27#20:55:35,14.9,67.0
2025-10-27#20:55:50,14.9,67.0
2025-10-27#20:56:05,14.9,67.0
2025-10-27#20:56:21,14.9,67.0
2025-10-27#20:56:36,14.9,67.0
2025-10-27#20:56:51,14.9,67.0
2025-10-27#20:57:06,14.9,67.0
2025-10-27#20:57:22,14.9,67.0
2025-10-27#20:57:37,14.9,67.0
2025-10-27#20:57:52,14.9,67.0
2025-10-27#20:58:07,14.9,67.0
2025-10-27#20:58:23,14.9,67.0
2025-10-27#20:58:38,14.9,67.0
2025-10-27#20:58:53,14.9,67.0
2025-10-27#20:59:08,14.9,67.0
2025-10-27#20:59:24,14.9,67.0
2025-10-27#20:59:39,14.9,67.0
2025-10-27#20:59:54,14.9,67.0
2025-10-27#21:00:09,14.9,67.0
2025-10-27#21:00:25,14.9,67.0
2025-10-27#21:00:40,14.9,67.0
2025-10-27#21:00:55,14.9,67.0
2025-10-27#21:01:10,14.9,67.0
2025-10-27#21:01:26,14.9,67.0
2025-10-27#21:01:41,14.9,67.0
2025-10-27#21:01:56,14.9,67.0
2025-10-27#21:02:11,14.9,67.0
2025-10-27#21:02:27,14.9,67.0
2025-10-27#21:02:42,14.9,67.0
2025-10-27#21:02:57,14.9,67.0
2025-10-27#21:03:12,14.9,67.0
2025-10-27#21:03:28,14.9,67.0
2025-10-27#21:03:43,14.9,67.0
2025-10-27#21:03:58,14.9,67.0
2025-10-27#21:04:13,14.9,67.0
2025-10-27#21:04:29,14.8,67.0
2025-10-27#21:04:44,14.8,67.0
2025-10-27#21:04:59,14.8,67.0
2025-10-27#21:05:14,14.8,67.0
2025-10-27#21:05:30,14.8,67.0
2025-10-27#21:05:45,14.8,67.0
2025-10-27#21:06:00,14.9,67.0
2025-10-27#21:06:15,14.9,67.0
2025-10-27#21:06:31,14.9,67.0
2025-10-27#21:06:46,14.8,67.0
2025-10-27#21:07:01,14.8,67.0
2025-10-27#21:07:16,14.8,67.0
2025-10-27#21:07:32,14.8,67.0
2025-10-27#21:07:47,14.8,67.0
2025-10-27#21:08:02,14.8,67.0
2025-10-27#21:08:33,14.8,67.0
2025-10-27#21:08:48,14.8,67.0
2025-10-27#21:09:03,14.8,67.0
2025-10-27#21:09:18,14.8,67.0
2025-10-27#21:09:34,14.8,67.0
2025-10-27#21:09:49,14.8,67.0
2025-10-27#21:10:04,14.8,67.0
2025-10-27#21:10:19,14.8,67.0
2025-10-27#21:10:35,14.8,67.0
2025-10-27#21:10:50,14.8,67.0
2025-10-27#21:11:05,14.8,67.0
2025-10-27#21:11:20,14.8,67.0
2025-10-27#21:11:36,14.8,67.0
2025-10-27#21:11:51,14.8,67.0
2025-10-27#21:12:06,14.8,67.0
2025-10-27#21:12:21,14.8,67.0
2025-10-27#21:12:37,14.8,67.0
2025-10-27#21:12:52,14.8,67.0
2025-10-27#21:13:07,14.8,67.0
2025-10-27#21:13:22,14.8,67.0
2025-10-27#21:13:38,14.8,67.0
2025-10-27#21:13:53,14.8,67.0
2025-10-27#21:14:08,14.8,67.0
2025-10-27#21:14:24,14.8,67.0
2025-10-27#21:14:39,14.8,67.0
2025-10-27#21:14:54,14.8,67.0
2025-10-27#21:15:09,14.8,67.0
2025-10-27#21:15:25,14.8,67.0
2025-10-27#21:15:40,14.8,67.0
2025-10-27#21:15:55,14.8,67.0
2025-10-27#21:16:10,14.8,67.0
2025-10-27#21:16:26,14.8,67.0
2025-10-27#21:16:41,14.8,67.0
2025-10-27#21:16:56,14.8,67.0
2025-10-27#21:17:11,14.8,67.0
2025-10-27#21:17:27,14.8,67.0
2025-10-27#21:17:42,14.8,67.0
2025-10-27#21:17:57,14.8,67.0
2025-10-27#21:18:12,14.8,67.0
2025-10-27#21:18:28,14.8,67.0
2025-10-27#21:18:43,14.8,67.0
2025-10-27#21:18:58,14.8,67.0
2025-10-27#21:19:13,14.8,67.0
2025-10-27#21:19:29,14.8,67.0
2025-10-27#21:19:44,14.8,67.0
2025-10-27#21:19:59,14.8,67.0
2025-10-27#21:20:14,14.8,67.0
2025-10-27#21:20:30,14.8,67.0
2025-10-27#21:20:45,14.8,67.0
2025-10-27#21:21:00,14.8,67.0
2025-10-27#21:21:15,14.8,67.0
2025-10-27#21:21:31,14.8,67.0
2025-10-27#21:21:46,14.8,67.0
2025-10-27#21:22:01,14.8,67.0
2025-10-27#21:22:16,14.8,67.0
2025-10-27#21:22:32,14.8,67.0
2025-10-27#21:22:47,14.8,67.0
2025-10-27#21:23:02,14.8,67.0
2025-10-27#21:23:17,14.8,67.0
2025-10-27#21:23:33,14.8,67.0
2025-10-27#21:23:48,14.8,67.0
2025-10-27#21:24:03,14.8,67.0
2025-10-27#21:24:18,14.8,67.0
2025-10-27#21:24:34,14.8,67.0
2025-10-27#21:24:49,14.8,67.0
2025-10-27#21:25:04,14.8,67.0
2025-10-27#21:25:19,14.8,67.0
2025-10-27#21:25:35,14.8,67.0
2025-10-27#21:25:50,14.8,67.0
2025-10-27#21:26:05,14.8,67.0
2025-10-27#21:26:20,14.8,67.0
2025-10-27#21:26:36,14.8,67.0
2025-10-27#21:26:51,14.8,67.0
2025-10-27#21:27:06,14.8,67.0
2025-10-27#21:27:21,14.8,67.0
2025-10-27#21:27:37,14.8,67.0
2025-10-27#21:27:52,14.8,67.0
2025-10-27#21:28:07,14.8,67.0
2025-10-27#21:28:22,14.8,67.0
2025-10-27#21:28:38,14.8,67.0
2025-10-27#21:28:53,14.8,67.0
2025-10-27#21:29:08,14.8,67.0
2025-10-27#21:29:39,14.8,67.0
2025-10-27#21:29:54,14.8,67.0
2025-10-27#21:30:09,14.8,67.0
2025-10-27#21:30:24,14.8,67.0
2025-10-27#21:30:40,14.8,67.0
2025-10-27#21:30:55,14.8,67.0
2025-10-27#21:31:10,14.8,67.0
2025-10-27#21:31:25,14.8,67.0
2025-10-27#21:31:41,14.8,67.0
2025-10-27#21:31:56,14.8,67.0
2025-10-27#21:32:11,14.8,67.0
2025-10-27#21:32:26,14.8,67.0
2025-10-27#21:32:42,14.8,67.0
2025-10-27#21:32:57,14.8,67.0
2025-10-27#21:33:12,14.8,67.0
2025-10-27#21:33:27,14.8,67.0
2025-10-27#21:33:43,14.8,67.0
2025-10-27#21:33:58,14.8,67.0
2025-10-27#21:34:13,14.8,67.0
2025-10-27#21:34:28,14.8,67.0
2025-10-27#21:34:44,14.8,67.0
2025-10-27#21:34:59,14.8,67.0
2025-10-27#21:35:14,14.8,67.0
2025-10-27#21:35:29,14.8,67.0
2025-10-27#21:35:45,14.8,67.0
2025-10-27#21:36:00,14.8,67.0
2025-10-27#21:36:15,14.8,67.0
2025-10-27#21:36:30,14.8,67.0
2025-10-27#21:36:46,14.8,67.0
2025-10-27#21:37:01,14.8,67.0
2025-10-27#21:37:16,14.8,67.0
2025-10-27#21:37:32,14.8,67.0
2025-10-27#21:37:47,14.8,67.0
2025-10-27#21:38:02,14.8,67.0
2025-10-27#21:38:17,14.8,67.0
2025-10-27#21:38:33,14.8,67.0
2025-10-27#21:38:48,14.8,67.0
2025-10-27#21:39:03,14.8,67.0
2025-10-27#21:39:18,14.8,67.0
2025-10-27#21:39:34,14.8,67.0
2025-10-27#21:39:49,14.8,67.0
2025-10-27#21:40:04,14.8,67.0
2025-10-27#21:40:19,14.8,67.0
2025-10-27#21:40:35,14.8,67.0
2025-10-27#21:40:50,14.8,67.0
2025-10-27#21:41:05,14.8,67.0
2025-10-27#21:41:20,14.8,67.0
2025-10-27#21:41:36,14.8,67.0
2025-10-27#21:41:51,14.7,67.0
2025-10-27#21:42:06,14.7,67.0
2025-10-27#21:42:21,14.7,67.0
2025-10-27#21:42:37,14.7,67.0
2025-10-27#21:42:52,14.7,67.0
2025-10-27#21:43:07,14.7,67.0
2025-10-27#21:43:22,14.7,67.0
2025-10-27#21:43:38,14.7,67.0
2025-10-27#21:43:53,14.7,67.0
2025-10-27#21:44:08,14.7,67.0
2025-10-27#21:44:23,14.7,67.0
2025-10-27#21:44:39,14.8,67.0
2025-10-27#21:44:54,14.7,67.0
2025-10-27#21:45:09,14.7,67.0
2025-10-27#21:45:24,14.7,67.0
2025-10-27#21:45:40,14.7,67.0
2025-10-27#21:45:55,14.7,67.0
2025-10-27#21:46:10,14.7,67.0
2025-10-27#21:46:25,14.7,67.0
2025-10-27#21:46:41,14.7,67.0
2025-10-27#21:46:56,14.7,67.0
2025-10-27#21:47:11,14.7,67.0
2025-10-27#21:47:26,14.7,67.0
2025-10-27#21:47:42,14.7,67.0
2025-10-27#21:47:57,14.7,67.0
2025-10-27#21:48:12,14.7,67.0
2025-10-27#21:48:27,14.7,67.0
2025-10-27#21:48:43,14.7,67.0
2025-10-27#21:48:58,14.7,67.0
2025-10-27#21:49:13,14.7,67.0
2025-10-27#21:49:28,14.7,67.0
2025-10-27#21:49:44,14.7,67.0
2025-10-27#21:49:59,14.7,67.0
2025-10-27#21:50:14,14.7,67.0
2025-10-27#21:50:29,14.7,67.0
2025-10-27#21:50:45,14.7,67.0
2025-10-27#21:51:00,14.7,67.0
2025-10-27#21:51:15,14.7,67.0
2025-10-27#21:51:30,14.7,67.0
2025-10-27#21:51:46,14.7,67.0
2025-10-27#21:52:01,14.7,67.0
2025-10-27#21:52:16,14.7,67.0
2025-10-27#21:52:31,14.7,67.0
2025-10-27#21:52:47,14.7,67.0
2025-10-27#21:53:02,14.7,67.0
2025-10-27#21:53:17,14.7,67.0
2025-10-27#21:53:32,14.7,67.0
2025-10-27#21:53:48,14.7,67.0
2025-10-27#21:54:03,14.7,67.0
2025-10-27#21:54:18,14.7,67.0
2025-10-27#21:54:33,14.7,67.0
2025-10-27#21:54:49,14.7,67.0
2025-10-27#21:55:04,14.7,67.0
2025-10-27#21:55:19,14.7,67.0
2025-10-27#21:55:34,14.7,67.0
2025-10-27#21:55:50,14.7,67.0
2025-10-27#21:56:05,14.7,67.0
2025-10-27#21:56:20,14.7,67.0
2025-10-27#21:56:35,14.7,67.0
2025-10-27#21:56:51,14.7,67.0
2025-10-27#21:57:06,14.7,67.0
2025-10-27#21:57:21,14.7,67.0
2025-10-27#21:57:36,14.7,67.0
2025-10-27#21:57:52,14.7,67.0
2025-10-27#21:58:07,14.7,67.0
2025-10-27#21:58:22,14.7,67.0
2025-10-27#21:58:37,14.7,67.0
2025-10-27#21:58:53,14.7,67.0
2025-10-27#21:59:08,14.7,67.0
2025-10-27#21:59:23,14.7,67.0
2025-10-27#21:59:38,14.7,67.0
2025-10-27#21:59:54,14.7,67.0
2025-10-27#22:00:09,14.7,67.0
2025-10-27#22:00:24,14.7,67.0
2025-10-27#22:00:39,14.7,67.0
2025-10-27#22:00:55,14.7,67.0
2025-10-27#22:01:10,14.7,67.0
2025-10-27#22:01:25,14.7,67.0
2025-10-27#22:01:40,14.7,67.0
2025-10-27#22:01:56,14.7,67.0
2025-10-27#22:02:11,14.7,67.0
2025-10-27#22:02:26,14.7,67.0
2025-10-27#22:02:41,14.7,67.0
2025-10-27#22:02:57,14.7,67.0
2025-10-27#22:03:12,14.7,67.0
2025-10-27#22:03:27,14.7,67.0
2025-10-27#22:03:42,14.7,67.0
2025-10-27#22:03:58,14.7,67.0
2025-10-27#22:04:13,14.7,67.0
2025-10-27#22:04:28,14.7,67.0
2025-10-27#22:04:43,14.7,67.0
2025-10-27#22:04:59,14.7,67.0
2025-10-27#22:05:14,14.7,67.0
2025-10-27#22:05:29,14.7,67.0
2025-10-27#22:05:44,14.7,67.0
2025-10-27#22:06:00,14.7,66.0
2025-10-27#22:06:15,14.7,66.0
2025-10-27#22:06:30,14.7,66.0
2025-10-27#22:06:45,14.7,66.0
2025-10-27#22:07:01,14.7,66.0
2025-10-27#22:07:16,14.7,66.0
2025-10-27#22:07:31,14.7,66.0
2025-10-27#22:07:47,14.7,66.0
2025-10-27#22:08:02,14.7,66.0
2025-10-27#22:08:17,14.7,66.0
2025-10-27#22:08:32,14.7,66.0
2025-10-27#22:08:48,14.7,66.0
2025-10-27#22:09:03,14.7,66.0
2025-10-27#22:09:18,14.7,66.0
2025-10-27#22:09:49,14.7,66.0
2025-10-27#22:10:04,14.7,66.0
2025-10-27#22:10:19,14.7,66.0
2025-10-27#22:10:34,14.7,66.0
2025-10-27#22:10:50,14.7,66.0
2025-10-27#22:11:05,14.7,66.0
2025-10-27#22:11:20,14.7,66.0
2025-10-27#22:11:35,14.7,66.0
2025-10-27#22:11:51,14.7,66.0
2025-10-27#22:12:06,14.7,66.0
2025-10-27#22:12:21,14.7,66.0
2025-10-27#22:12:36,14.7,66.0
2025-10-27#22:12:52,14.7,66.0
2025-10-27#22:13:07,14.7,66.0
2025-10-27#22:13:22,14.7,66.0
2025-10-27#22:13:37,14.7,66.0
2025-10-27#22:13:53,14.7,66.0
2025-10-27#22:14:08,14.7,66.0
2025-10-27#22:14:23,14.7,66.0
2025-10-27#22:14:38,14.7,66.0
2025-10-27#22:14:54,14.7,66.0
2025-10-27#22:15:09,14.7,66.0
2025-10-27#22:15:24,14.7,66.0
2025-10-27#22:15:39,14.7,66.0
2025-10-27#22:15:55,14.7,66.0
2025-10-27#22:16:10,14.7,66.0
2025-10-27#22:16:25,14.7,66.0
2025-10-27#22:16:40,14.7,66.0
2025-10-27#22:16:56,14.7,66.0
2025-10-27#22:17:11,14.7,66.0
2025-10-27#22:17:26,14.7,66.0
2025-10-27#22:17:41,14.7,66.0
2025-10-27#22:17:57,14.6,66.0
2025-10-27#22:18:12,14.6,66.0
2025-10-27#22:18:27,14.6,66.0
2025-10-27#22:18:42,14.6,66.0
2025-10-27#22:18:58,14.6,66.0
2025-10-27#22:19:13,14.6,66.0
2025-10-27#22:19:28,14.7,66.0
2025-10-27#22:19:43,14.7,66.0
2025-10-27#22:19:59,14.7,66.0
2025-10-27#22:20:14,14.7,66.0
2025-10-27#22:20:29,14.7,66.0
2025-10-27#22:20:44,14.7,66.0
2025-10-27#22:21:00,14.7,66.0
2025-10-27#22:21:15,14.7,66.0
2025-10-27#22:21:30,14.7,66.0
2025-10-27#22:21:45,14.7,66.0
2025-10-27#22:22:01,14.7,66.0
2025-10-27#22:22:16,14.7,66.0
2025-10-27#22:22:31,14.6,66.0
2025-10-27#22:22:46,14.6,66.0
2025-10-27#22:23:02,14.6,66.0
2025-10-27#22:23:17,14.6,66.0
2025-10-27#22:23:32,14.6,66.0
2025-10-27#22:23:47,14.6,66.0
2025-10-27#22:24:03,14.7,66.0
2025-10-27#22:24:18,14.7,66.0
2025-10-27#22:24:33,14.6,66.0
2025-10-27#22:24:48,14.6,66.0
2025-10-27#22:25:04,14.6,66.0
2025-10-27#22:25:19,14.7,66.0
2025-10-27#22:25:34,14.6,66.0
2025-10-27#22:25:49,14.6,66.0
2025-10-27#22:26:05,14.6,66.0
2025-10-27#22:26:20,14.6,66.0
2025-10-27#22:26:35,14.6,66.0
2025-10-27#22:26:50,14.6,66.0
2025-10-27#22:27:06,14.6,67.0
2025-10-27#22:27:21,14.6,67.0
2025-10-27#22:27:36,14.6,67.0
2025-10-27#22:27:51,14.6,67.0
2025-10-27#22:28:07,14.6,67.0
2025-10-27#22:28:22,14.6,67.0
2025-10-27#22:28:37,14.6,67.0
2025-10-27#22:28:52,14.6,67.0
2025-10-27#22:29:08,14.6,67.0
2025-10-27#22:29:23,14.6,67.0
2025-10-27#22:29:38,14.6,66.0
2025-10-27#22:29:53,14.6,66.0
2025-10-27#22:30:09,14.6,66.0
2025-10-27#22:30:24,14.6,66.0
2025-10-27#22:30:39,14.6,66.0
2025-10-27#22:30:54,14.6,66.0
2025-10-27#22:31:10,14.6,66.0
2025-10-27#22:31:25,14.6,66.0
2025-10-27#22:31:40,14.6,66.0
2025-10-27#22:31:55,14.6,66.0
2025-10-27#22:32:26,14.6,66.0
2025-10-27#22:32:41,14.6,66.0
2025-10-27#22:32:56,14.6,66.0
2025-10-27#22:33:12,14.6,66.0
2025-10-27#22:33:27,14.6,66.0
2025-10-27#22:33:42,14.6,66.0
2025-10-27#22:33:57,14.6,66.0
2025-10-27#22:34:13,14.6,66.0
2025-10-27#22:34:28,14.6,66.0
2025-10-27#22:34:43,14.6,66.0
2025-10-27#22:34:58,14.6,66.0
2025-10-27#22:35:14,14.6,66.0
2025-10-27#22:35:29,14.6,66.0
2025-10-27#22:35:44,14.6,66.0
2025-10-27#22:35:59,14.6,66.0
2025-10-27#22:36:15,14.6,66.0
2025-10-27#22:36:30,14.6,66.0
2025-10-27#22:36:45,14.6,66.0
2025-10-27#22:37:01,14.6,66.0
2025-10-27#22:37:16,14.6,66.0
2025-10-27#22:37:31,14.6,66.0
2025-10-27#22:37:46,14.6,66.0
2025-10-27#22:38:02,14.6,66.0
2025-10-27#22:38:17,14.6,66.0
2025-10-27#22:38:32,14.6,66.0
2025-10-27#22:38:47,14.6,66.0
2025-10-27#22:39:03,14.6,66.0
2025-10-27#22:39:18,14.6,66.0
2025-10-27#22:39:33,14.6,66.0
2025-10-27#22:39:48,14.6,66.0
2025-10-27#22:40:04,14.6,66.0
2025-10-27#22:40:19,14.6,66.0
2025-10-27#22:40:34,14.6,66.0
2025-10-27#22:40:49,14.6,66.0
2025-10-27#22:41:05,14.6,66.0
2025-10-27#22:41:20,14.6,66.0
2025-10-27#22:41:35,14.6,66.0
2025-10-27#22:41:50,14.6,66.0
2025-10-27#22:42:06,14.6,66.0
2025-10-27#22:42:21,14.6,66.0
2025-10-27#22:42:36,14.6,66.0
2025-10-27#22:42:51,14.6,66.0
2025-10-27#22:43:07,14.6,66.0
2025-10-27#22:43:22,14.6,66.0
2025-10-27#22:43:37,14.6,66.0
2025-10-27#22:43:52,14.6,66.0
2025-10-27#22:44:08,14.6,66.0
2025-10-27#22:44:23,14.6,66.0
2025-10-27#22:44:38,14.6,66.0
2025-10-27#22:44:53,14.6,66.0
2025-10-27#22:45:09,14.6,66.0
2025-10-27#22:45:24,14.6,66.0
2025-10-27#22:45:39,14.6,66.0
2025-10-27#22:45:54,14.6,66.0
2025-10-27#22:46:10,14.6,66.0
2025-10-27#22:46:25,14.6,66.0
2025-10-27#22:46:40,14.6,66.0
2025-10-27#22:46:55,14.6,66.0
2025-10-27#22:47:11,14.6,66.0
2025-10-27#22:47:26,14.6,66.0
2025-10-27#22:47:41,14.6,66.0
2025-10-27#22:47:56,14.6,66.0
2025-10-27#22:48:12,14.6,66.0
2025-10-27#22:48:27,14.6,66.0
2025-10-27#22:48:42,14.6,66.0
2025-10-27#22:48:57,14.6,66.0
2025-10-27#22:49:13,14.6,66.0
2025-10-27#22:49:28,14.6,66.0
2025-10-27#22:49:43,14.6,66.0
2025-10-27#22:49:58,14.6,66.0
2025-10-27#22:50:14,14.6,66.0
2025-10-27#22:50:29,14.6,66.0
2025-10-27#22:50:44,14.6,66.0
2025-10-27#22:50:59,14.6,66.0
2025-10-27#22:51:15,14.6,66.0
2025-10-27#22:51:30,14.6,66.0
2025-10-27#22:51:45,14.6,66.0
2025-10-27#22:52:00,14.6,65.0
2025-10-27#22:52:16,14.6,65.0
2025-10-27#22:52:31,14.6,65.0
2025-10-27#22:52:46,14.6,65.0
2025-10-27#22:53:01,14.6,65.0
2025-10-27#22:53:17,14.6,65.0
2025-10-27#22:53:32,14.6,65.0
2025-10-27#22:53:47,14.6,65.0
2025-10-27#22:54:02,14.6,65.0
2025-10-27#22:54:18,14.6,65.0
2025-10-27#22:54:33,14.6,65.0
2025-10-27#22:54:48,14.6,65.0
2025-10-27#22:55:03,14.6,65.0
2025-10-27#22:55:19,14.6,65.0
2025-10-27#22:55:34,14.6,65.0
2025-10-27#22:55:49,14.6,65.0
2025-10-27#22:56:20,14.6,65.0
2025-10-27#22:56:35,14.6,65.0
2025-10-27#22:56:50,14.6,65.0
2025-10-27#22:57:05,14.6,65.0
2025-10-27#22:57:21,14.6,65.0
2025-10-27#22:57:36,14.6,65.0
2025-10-27#22:57:51,14.6,65.0
2025-10-27#22:58:06,14.6,65.0
2025-10-27#22:58:22,14.6,65.0
2025-10-27#22:58:37,14.6,65.0
2025-10-27#22:58:52,14.6,65.0
2025-10-27#22:59:08,14.6,65.0
2025-10-27#22:59:23,14.6,65.0
2025-10-27#22:59:38,14.6,65.0
2025-10-27#22:59:53,14.6,65.0
2025-10-27#23:00:09,14.6,65.0
2025-10-27#23:00:24,14.6,65.0
2025-10-27#23:00:39,14.6,65.0
2025-10-27#23:01:10,14.6,65.0
2025-10-27#23:01:25,14.6,65.0
2025-10-27#23:01:40,14.6,65.0
2025-10-27#23:01:55,14.6,65.0
2025-10-27#23:02:11,14.6,65.0
2025-10-27#23:02:26,14.6,65.0
2025-10-27#23:02:41,14.6,65.0
2025-10-27#23:02:56,14.6,65.0
