date,temp,humid

2025-10-27#20:07:06,15.0,68.0
2025-10-27#20:07:09,15.0,68.0
2025-10-27#20:07:11,15.0,68.0
2025-10-27#20:07:13,15.0,68.0
2025-10-27#20:07:25,15.0,68.0
2025-10-27#20:07:27,15.0,67.0
2025-10-27#20:07:29,15.0,67.0
2025-10-27#20:08:02,15.0,67.0
2025-10-27#20:08:04,15.0,67.0
2025-10-27#20:08:06,15.0,67.0
2025-10-27#20:08:09,15.0,67.0
2025-10-27#20:08:11,15.0,67.0
2025-10-27#20:13:53,18.2,69.0
2025-10-27#20:13:56,18.2,69.0
2025-10-27#20:13:58,18.2,69.0
2025-10-27#20:14:00,18.3,68.0
2025-10-27#20:14:02,18.3,68.0
2025-10-27#20:14:05,18.4,67.0
2025-10-27#20:20:29,18.4,66.0
2025-10-27#20:20:39,18.4,66.0
2025-10-27#20:20:50,17.7,65.0
2025-10-27#20:21:00,17.0,64.0
2025-10-27#20:21:10,16.3,64.0
2025-10-27#20:21:20,15.6,64.0
2025-10-27#20:21:31,15.5,64.0
2025-10-27#20:21:41,15.5,64.0
2025-10-27#20:21:51,15.5,64.0
2025-10-27#20:22:01,15.5,64.0
2025-10-27#20:22:12,15.5,64.0
2025-10-27#20:22:22,15.5,64.0
2025-10-27#20:22:32,15.5,64.0
2025-10-27#20:22:42,15.5,64.0
2025-10-27#20:22:53,15.4,65.0
2025-10-27#20:23:03,15.4,65.0
2025-10-27#20:23:13,15.4,65.0
2025-10-27#20:23:23,15.4,65.0
2025-10-27#20:23:34,15.4,65.0
2025-10-27#20:23:44,15.4,65.0
2025-10-27#20:23:54,15.4,65.0
2025-10-27#20:24:04,15.3,65.0
2025-10-27#20:24:15,15.3,65.0
2025-10-27#20:24:25,15.3,65.0
2025-10-27#20:24:35,15.3,65.0
2025-10-27#20:24:45,15.3,65.0
2025-10-27#20:24:56,15.3,65.0
2025-10-27#20:25:06,15.3,65.0
2025-10-27#20:25:16,15.3,65.0
2025-10-27#20:25:26,15.3,65.0
2025-10-27#20:25:37,15.3,65.0
2025-10-27#20:25:47,15.2,65.0
2025-10-27#20:25:57,15.2,65.0
2025-10-27#20:26:07,15.2,65.0
2025-10-27#20:26:18,15.2,65.0
2025-10-27#20:26:28,15.2,65.0
2025-10-27#20:26:38,15.2,65.0
2025-10-27#20:26:48,15.2,65.0
2025-10-27#20:26:59,15.2,65.0
2025-10-27#20:27:09,15.2,65.0
2025-10-27#20:27:19,15.2,65.0
2025-10-27#20:27:29,15.2,66.0
2025-10-27#20:27:40,15.2,66.0
2025-10-27#20:27:50,15.2,66.0
2025-10-27#20:28:00,15.2,66.0
2025-10-27#20:28:11,15.1,66.0
2025-10-27#20:28:21,15.2,66.0
2025-10-27#20:28:31,15.1,66.0
2025-10-27#20:28:41,15.2,66.0
2025-10-27#20:28:52,15.1,66.0
2025-10-27#20:29:02,15.1,66.0
2025-10-27#20:29:12,15.1,66.0
2025-10-27#20:29:22,15.1,66.0
